get_annotations:EMD-2326	PDB-CPX-36017	CPX-2113		PDB_ID
get_annotations:EMD-2327	PDB-CPX-36017	CPX-2113		PDB_ID
get_annotations:EMD-9118	PDB-CPX-36422	CPX-3861		PDB_ID
get_annotations:EMD-9124	PDB-CPX-36422	CPX-3861		PDB_ID
get_annotations:EMD-9126	PDB-CPX-36422	CPX-3861		PDB_ID
get_annotations:EMD-4537	PDB-CPX-36616	CPX-1934		PDB_ID
get_annotations:EMD-10107	PDB-CPX-37005	CPX-4021		PDB_ID
get_annotations:EMD-1143	PDB-CPX-37010	CPX-1096		PDB_ID
get_annotations:EMD-11144	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11145	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11203	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11205	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11207	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11329	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11330	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11331	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11332	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11333	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11334	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11336	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11337	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11497	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-11683	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-21375	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-21452	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-21457	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-21997	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-21999	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22000	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22001	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22078	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22083	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22161	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22162	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22221	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22251	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22253	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22254	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22255	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22256	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22292	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22293	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22301	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22352	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22515	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22821	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22822	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22823	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22824	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22825	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22826	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22831	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22832	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22833	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22834	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22835	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22836	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22837	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22838	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22894	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-30325	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-30419	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-30651	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-30654	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-30660	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-30701	PDB-CPX-37833	CPX-5683		PDB_ID
get_annotations:EMD-22354	PDB-CPX-37839	CPX-5684		PDB_ID
get_annotations:EMD-30127	PDB-CPX-37850	CPX-5742		PDB_ID
get_annotations:EMD-30178	PDB-CPX-37850	CPX-5742		PDB_ID
get_annotations:EMD-30209	PDB-CPX-37850	CPX-5742		PDB_ID
get_annotations:EMD-30226	PDB-CPX-37850	CPX-5742		PDB_ID
get_annotations:EMD-30572	PDB-CPX-37850	CPX-5742		PDB_ID
get_annotations:EMD-22610	PDB-CPX-37857	CPX-5689		PDB_ID
get_annotations:EMD-2751	PDB-CPX-38350	CPX-3136		PDB_ID
get_annotations:EMD-2752	PDB-CPX-38350	CPX-3136		PDB_ID
get_annotations:EMD-4258	PDB-CPX-38350	CPX-3136		PDB_ID
get_annotations:EMD-4295	PDB-CPX-38350	CPX-3136		PDB_ID
get_annotations:EMD-8073	PDB-CPX-38350	CPX-3136		PDB_ID
get_annotations:EMD-6339	PDB-CPX-38448	CPX-538		PDB_ID
get_annotations:EMD-0756	PDB-CPX-38590	CPX-2156		PDB_ID
get_annotations:EMD-0757	PDB-CPX-38590	CPX-2156		PDB_ID
get_annotations:EMD-0758	PDB-CPX-38590	CPX-2156		PDB_ID
get_annotations:EMD-0760	PDB-CPX-38590	CPX-2156		PDB_ID
get_annotations:EMD-9540	PDB-CPX-38590	CPX-2156		PDB_ID
get_annotations:EMD-9541	PDB-CPX-38590	CPX-2156		PDB_ID
get_annotations:EMD-0311	PDB-CPX-39153	CPX-5285		PDB_ID
get_annotations:EMD-0312	PDB-CPX-39153	CPX-5285		PDB_ID
get_annotations:EMD-0313	PDB-CPX-39153	CPX-5285		PDB_ID
get_annotations:EMD-0314	PDB-CPX-39153	CPX-5285		PDB_ID
get_annotations:EMD-0315	PDB-CPX-39153	CPX-5285		PDB_ID
get_annotations:EMD-0492	PDB-CPX-39807	CPX-6030		PDB_ID
get_annotations:EMD-4489	PDB-CPX-39807	CPX-6030		PDB_ID
get_annotations:EMD-1831	PDB-CPX-39907	CPX-2195		PDB_ID
get_annotations:EMD-2219	PDB-CPX-39907	CPX-2195		PDB_ID
get_annotations:EMD-2759	PDB-CPX-39907	CPX-2195		PDB_ID
get_annotations:EMD-2760	PDB-CPX-39907	CPX-2195		PDB_ID
get_annotations:EMD-5104	PDB-CPX-39907	CPX-2195		PDB_ID
get_annotations:EMD-6799	PDB-CPX-39907	CPX-2195		PDB_ID
get_annotations:EMD-0717	PDB-CPX-40009	CPX-16		PDB_ID
get_annotations:EMD-0718	PDB-CPX-40009	CPX-16		PDB_ID
get_annotations:EMD-21701	PDB-CPX-40627	CPX-2110		PDB_ID
get_annotations:EMD-1087	PDB-CPX-41066	CPX-2121		PDB_ID
get_annotations:EMD-0228	PDB-CPX-41087	CPX-274		PDB_ID
get_annotations:EMD-10673	PDB-CPX-41087	CPX-274		PDB_ID
get_annotations:EMD-0225	PDB-CPX-41088	CPX-274		PDB_ID
get_annotations:EMD-0226	PDB-CPX-41088	CPX-274		PDB_ID
get_annotations:EMD-0227	PDB-CPX-41088	CPX-274		PDB_ID
get_annotations:EMD-0469	PDB-CPX-41088	CPX-274		PDB_ID
get_annotations:EMD-10691	PDB-CPX-41088	CPX-274		PDB_ID
get_annotations:EMD-10692	PDB-CPX-41088	CPX-274		PDB_ID
get_annotations:EMD-10693	PDB-CPX-41088	CPX-274		PDB_ID
get_annotations:EMD-7088	PDB-CPX-41088	CPX-274		PDB_ID
get_annotations:EMD-7882	PDB-CPX-41088	CPX-274		PDB_ID
get_annotations:EMD-7883	PDB-CPX-41088	CPX-274		PDB_ID
get_annotations:EMD-21664	PDB-CPX-41132	CPX-2944		PDB_ID
get_annotations:EMD-6338	PDB-CPX-41132	CPX-2944		PDB_ID
get_annotations:EMD-20240	PDB-CPX-42355	CPX-3036		PDB_ID
get_annotations:EMD-1811	PDB-CPX-42652	CPX-465		PDB_ID
get_annotations:EMD-4161	PDB-CPX-42818	CPX-1639		PDB_ID
